id,user_id,session_id,archetype_id,archetype_name_th,archetype_name_en,score_o,score_c,score_e,score_a,score_n,quadrant_primary,quadrant_secondary,confidence_o,confidence_e,via_dominant,via_scores,jungian_type,jungian_scores,pdcr_fire,pdcr_wind,pdcr_water,pdcr_earth,pdcr_dominant,indian_dosha,compat_top3,compat_hardest,bright_flag,bright_type,confidence_score,confidence_level,confidence_details,created_at,energy_id,energy_name,energy_keywords
048dd94e-0671-48a1-a60f-c0cedc88f6f4,DEM-DZHBIAFAZGGGANONA,9300d5f1-d6cb-4124-bca7-ac81fffe157a,Y_J-Q4-TJ,ผู้รักษามาตรฐาน,The Standard Keeper,2.9,3.1,2.6,3.5,3,Q4,Q2,0.33,1,J,"{""C"": 10.5, ""H"": 10.5, ""J"": 12.5, ""T"": 11, ""W"": 3.5, ""Tr"": 9}",TJ,"{""F"": 1, ""J"": 1.4, ""P"": 0.8, ""T"": 1.8}",3,7,1,1,W,Pitta (ปิตตะ - ไฟ),"[{""id"": ""Y_W-Q4-TJ"", ""score"": 0.51, ""name_en"": ""The Knowledge Architect"", ""name_th"": ""สถาปนิกแห่งความรู้"", ""image_url"": ""https://drive.google.com/thumbnail?id=1p9ZlBQa-dbGWVCtETt89lXzSBp4wz1Ik&sz=w800""}, {""id"": ""Y_C-Q4-TJ"", ""score"": 0.51, ""name_en"": ""The Steadfast Pillar"", ""name_th"": ""เสาหลักแห่งความมั่นคง"", ""image_url"": ""https://drive.google.com/thumbnail?id=1KLhNXnMLVqoTPV6xed2Ai7-lXvOl8pEd&sz=w800""}, {""id"": ""Y_H-Q4-TJ"", ""score"": 0.51, ""name_en"": ""The Master Caretaker"", ""name_th"": ""นักดูแลผู้เชี่ยวชาญ"", ""image_url"": ""https://drive.google.com/thumbnail?id=1On4EUZ_mYGwXVNNfHEOxl1N1Zv5FW1II&sz=w800""}]","{""id"": ""Y_Tr-Q1-FP"", ""score"": 0.15, ""name_en"": ""The Cosmic Dreamer"", ""name_th"": ""นักฝันแห่งจักรวาล"", ""image_url"": ""https://drive.google.com/thumbnail?id=1UN4B902RcYUfe41bHW2V3EfsgZymHHA-&sz=w800""}",,,90,สูง,"{""sd"": 1, ""inf"": 0, ""con_checks"": 0}",2026-04-24 07:41:49.366345+00,83,📣 ผู้ทรงอิทธิพลทางความคิด (The Influencer),"สื่อสาร, สร้างสรรค์, อำนาจ, ธุรกิจ, ไม่จริงจัง, พูดมาก"
11f553fc-16e9-4a0c-8480-c9aa9a32c419,DEM-DZBZZIEBCFGGANONA,18ba44fe-93b5-4775-a8f9-1e480ebe20d9,Y_T-Q4-FJ,ผู้รักษาสันติ,The Group Peace Keeper,2.8,3.4,2.4,2.8,2.7,Q4,Q2,0.67,1,T,"{""C"": 4.5, ""H"": 8.5, ""J"": 7, ""T"": 20, ""W"": 3, ""Tr"": 6.5}",FJ,"{""F"": 1.2, ""J"": 1.2, ""P"": 0.9, ""T"": 0.4}",0,5,4,3,W,Pitta (ปิตตะ - ไฟ),"[{""id"": ""Y_W-Q4-FJ"", ""score"": 0.51, ""name_en"": ""The Library Guardian"", ""name_th"": ""ผู้พิทักษ์ห้องสมุด"", ""image_url"": ""https://drive.google.com/thumbnail?id=1Wh7e2FGgF4A-Xe6v-eMcc2cSjtGplNP0&sz=w800""}, {""id"": ""Y_C-Q4-FJ"", ""score"": 0.51, ""name_en"": ""The Gate Keeper"", ""name_th"": ""ผู้พิทักษ์ประตู"", ""image_url"": ""https://drive.google.com/thumbnail?id=1Q6jTMBjLsAXr-aYnIQgl_UeUHtDPSCvc&sz=w800""}, {""id"": ""Y_H-Q4-FJ"", ""score"": 0.51, ""name_en"": ""The Community Anchor"", ""name_th"": ""ศูนย์กลางชุมชน"", ""image_url"": ""https://drive.google.com/thumbnail?id=1GPCjIKNzK4SAz3QBGKvjK1zm7p0LrtC0&sz=w800""}]","{""id"": ""Y_T-Q1-TP"", ""score"": 0.15, ""name_en"": ""The Balance Mediator"", ""name_th"": ""ผู้ประสานสมดุล"", ""image_url"": ""https://drive.google.com/thumbnail?id=1jOK0vZsaFGILXMcmOR4rLaI69266wTTr&sz=w800""}",,,100,สูง,"{""sd"": 0, ""inf"": 0, ""con_checks"": 0}",2026-04-16 08:10:48.613225+00,,,
2cb45177-8264-4870-af99-9c1db6bb39f5,DEM-IGIADBEHCFGGANONA,b663e86e-ce95-4e43-80e4-5528ffa8bf9f,Y_C-Q2-FP,นักสู้หัวใจแกร่ง,The Heartstrong Fighter,3.4,3.9,2.8,3.1,2.1,Q2,Q1,1,0.67,C,"{""C"": 11.5, ""H"": 9.5, ""J"": 6.5, ""T"": 10, ""W"": 10, ""Tr"": 3.5}",FP,"{""F"": 1.3, ""J"": 0.7, ""P"": 1.4, ""T"": 1.3}",3,4,0,5,E,Vata (วาตะ - ลม),"[{""id"": ""Y_W-Q2-FP"", ""score"": 0.48, ""name_en"": ""The Awakened Dreamer"", ""name_th"": ""นักฝันผู้ตื่นรู้"", ""image_url"": ""https://drive.google.com/thumbnail?id=1IsqN4JRxiELXawLcUttl8CM7l-0r5en3&sz=w800""}, {""id"": ""Y_H-Q2-FP"", ""score"": 0.48, ""name_en"": ""The Spirit Feeler"", ""name_th"": ""ผู้สัมผัสแห่งจิตวิญญาณ"", ""image_url"": ""https://drive.google.com/thumbnail?id=1XO1VQS2aGCnHXlT4-xEHS2p8CsmIFqPU&sz=w800""}, {""id"": ""Y_J-Q2-FP"", ""score"": 0.48, ""name_en"": ""The Equity Storyteller"", ""name_th"": ""นักเล่าเรื่องความเท่าเทียม"", ""image_url"": ""https://drive.google.com/thumbnail?id=13cgYLiTFqaYI0sqcfwofP67tqxU754BW&sz=w800""}]","{""id"": ""Y_Tr-Q4-TJ"", ""score"": 0.15, ""name_en"": ""The Sacred Tradition Keeper"", ""name_th"": ""ผู้รักษาประเพณีศักดิ์สิทธิ์"", ""image_url"": ""https://drive.google.com/thumbnail?id=1pvCRT4jcOcX_8XlAYVk4XI-fpAymSjPE&sz=w800""}",,,100,สูง,"{""sd"": 0, ""inf"": 0, ""con_checks"": 0}",2026-04-17 00:33:21.95051+00,,,
2d2a81d7-2499-4446-9992-3a25f30fc75e,DEM-AZGIBZAFBFGGANONA,ea0a469b-5058-4178-8ef0-cea3173bc7f4,Y_H-Q2-TP,ผู้รับฟังแห่งจิตวิญญาณ,The Soul Listener,3.6,3.5,2.6,3.3,2.3,Q2,,1,1,H,"{""C"": 6, ""H"": 12, ""J"": 8, ""T"": 10.5, ""W"": 11, ""Tr"": 9}",TP,"{""F"": 0, ""J"": 0.5, ""P"": 1.7000000000000002, ""T"": 0.8}",0,5,4,3,W,Vata (วาตะ - ลม),"[{""id"": ""Y_W-Q2-TP"", ""score"": 0.46, ""name_en"": ""The Idea Experimenter"", ""name_th"": ""นักทดลองไอเดีย"", ""image_url"": ""https://drive.google.com/thumbnail?id=1mlXpt7r24Axh_0bUbuSPRL6rl06W1sy-&sz=w800""}, {""id"": ""Y_C-Q2-TP"", ""score"": 0.46, ""name_en"": ""The Limit Tester"", ""name_th"": ""นักทดสอบขีดจำกัด"", ""image_url"": ""https://drive.google.com/thumbnail?id=1j-rZwH1yZphDy3DNToFHKHzB45_zJUKk&sz=w800""}, {""id"": ""Y_J-Q2-TP"", ""score"": 0.46, ""name_en"": ""The System Questioner"", ""name_th"": ""ผู้ตั้งคำถามต่อระบบ"", ""image_url"": ""https://drive.google.com/thumbnail?id=140OH6LfslALCRZKHjvClc-nfoWsPHLOj&sz=w800""}]","{""id"": ""Y_Tr-Q3-FJ"", ""score"": 0.15, ""name_en"": ""The Beauty Unifier"", ""name_th"": ""ผู้รวมใจด้วยศาสตร์แห่งศิลป์"", ""image_url"": ""https://drive.google.com/thumbnail?id=1jwTW9nt2AqsWHptwjCRhlm0GGTOZhY3T&sz=w800""}",,,100,สูง,"{""sd"": 0, ""inf"": 0, ""con_checks"": 0}",2026-04-15 13:58:57.908619+00,,,
2fdc207c-382a-424c-b1a9-90de5d4d702d,DEM-AIBZAZIAEFGGANONA,f2869b46-77aa-4afc-b66d-df89d4648005,Y_H-Q1-FJ,ผู้เยียวยาจิตวิญญาน,The Soul Nurse,3.8,3,3.4,3.6,3.2,Q1,,1,1,H,"{""C"": 10.5, ""H"": 17, ""J"": 7, ""T"": 3, ""W"": 0, ""Tr"": 12}",FJ,"{""F"": 2.6, ""J"": 1.9, ""P"": 0.3, ""T"": 0}",1,3,5,3,A,Vata (วาตะ - ลม),"[{""id"": ""Y_W-Q1-FJ"", ""score"": 0.5, ""name_en"": ""The Vision Queen"", ""name_th"": ""ราชินีแห่งวิสัยทัศน์"", ""image_url"": ""https://drive.google.com/thumbnail?id=1AlVUcPVMQ8sQ5_PtINsXLsbgdc_9BO7r&sz=w800""}, {""id"": ""Y_C-Q1-FJ"", ""score"": 0.5, ""name_en"": ""The Brave Protector"", ""name_th"": ""ผู้พิทักษ์ผู้กล้าหาญหาญ"", ""image_url"": ""https://drive.google.com/thumbnail?id=1Lc5C2b2-JnPrAjx4z4-C86VkEteuex6o&sz=w800""}, {""id"": ""Y_J-Q1-FJ"", ""score"": 0.5, ""name_en"": ""The Rights Guardian"", ""name_th"": ""ผู้พิทักษ์สิทธิ์"", ""image_url"": ""https://drive.google.com/thumbnail?id=1qp9TwE1LM5O2yzvGJ0G4Rvneg36nHUyN&sz=w800""}]","{""id"": ""Y_Tr-Q4-TP"", ""score"": 0.15, ""name_en"": ""The Star Archivist"", ""name_th"": ""ผู้ศึกษาดวงดาว"", ""image_url"": ""https://drive.google.com/thumbnail?id=1sgguUVGJP1xioBVF_vytvmxiaFcKKbIB&sz=w800""}",,,100,สูง,"{""sd"": 0, ""inf"": 0, ""con_checks"": 0}",2026-04-18 13:40:20.990989+00,3,😠 อัจฉริยะหัวร้อน (The Hot-headed Genius),"อัจฉริยะ, ความฉลาด, ใจร้อน, อารมณ์รุนแรง, ความขัดแย้ง, การตัดสินใจ"
30c46a3f-8218-446a-9735-21fe3c65fa41,DEM-GHBADFCBCFGGANONA,789bd601-93aa-40ac-b62c-48a92926698f,Y_T-Q4-TP,ผู้ฝึกตนผู้เคร่งครัด,The Disciplined Experimenter,2.8,3.6,2.1,2.9,2.9,Q4,Q2,0.67,1,T,"{""C"": 3, ""H"": 11.5, ""J"": 5.5, ""T"": 14, ""W"": 6.5, ""Tr"": 7.5}",TP,"{""F"": 0.9, ""J"": 0, ""P"": 1.8, ""T"": 0.9}",3,2,2,5,E,Pitta (ปิตตะ - ไฟ),"[{""id"": ""Y_W-Q4-TP"", ""score"": 0.47, ""name_en"": ""The Knowledge Tester"", ""name_th"": ""นักทดลองผู้ทรงภูมิ"", ""image_url"": ""https://drive.google.com/thumbnail?id=15AYwHPseoJ3tEQeJvrlffn5u56hfEhQj&sz=w800""}, {""id"": ""Y_C-Q4-TP"", ""score"": 0.47, ""name_en"": ""The Wall Scout"", ""name_th"": ""นักสำรวจกำแพง"", ""image_url"": ""https://drive.google.com/thumbnail?id=1FMSet8Jxsh02c7E2SfGzWXNT3S13OctP&sz=w800""}, {""id"": ""Y_H-Q4-TP"", ""score"": 0.47, ""name_en"": ""The Empathic Helper"", ""name_th"": ""ผู้ช่วยเหลือผู้มีความเข้าใจ"", ""image_url"": ""https://drive.google.com/thumbnail?id=1WU5jv5ntUvxzzSnw985rpOFS3GnYG0EF&sz=w800""}]","{""id"": ""Y_Tr-Q1-FJ"", ""score"": 0.15, ""name_en"": ""The Spirit Leader"", ""name_th"": ""ผู้นำทางจิตวิญญาณ"", ""image_url"": ""https://drive.google.com/thumbnail?id=1gv2jSkmQoWCudp8Bhi-kUOpMknsu8m2E&sz=w800""}",,,100,สูง,"{""sd"": 0, ""inf"": 0, ""con_checks"": 0}",2026-04-16 07:29:49.341592+00,,,
3232b74a-84ac-4022-8ecd-f7199e0382e2,DEM-ZAZEEECBCFGGANONA,2eb6e9dc-31fb-402d-abf0-55eb93130dcb,Y_T-Q1-TJ,กรรมการสนาม,The Arena Referee,3.1,3.3,3.3,3,3.2,Q1,Q3,0.33,1,T,"{""C"": 10.5, ""H"": 8.5, ""J"": 7, ""T"": 13.5, ""W"": 7.5, ""Tr"": 3.5}",TJ,"{""F"": 0.4, ""J"": 1.2, ""P"": 0.9, ""T"": 1.3}",4,2,3,3,F,Pitta (ปิตตะ - ไฟ),"[{""id"": ""Y_W-Q1-TJ"", ""score"": 0.46, ""name_en"": ""The Sage Navigator"", ""name_th"": ""ผู้นำทางแห่งปัญญา"", ""image_url"": ""https://drive.google.com/thumbnail?id=1cUnC5lziiHFs-HqVpzaVgMWKkB75G6Bd&sz=w800""}, {""id"": ""Y_C-Q1-TJ"", ""score"": 0.46, ""name_en"": ""The Disciplined Warrior"", ""name_th"": ""นักรบผู้มีวินัย"", ""image_url"": ""https://drive.google.com/thumbnail?id=1AmCz6RG3SNTA7S0UcitpENO8M3XiH5sv&sz=w800""}, {""id"": ""Y_H-Q1-TJ"", ""score"": 0.46, ""name_en"": ""The Mercy Commander"", ""name_th"": ""ผู้บัญชาการแห่งความเมตตา"", ""image_url"": ""https://drive.google.com/thumbnail?id=1nP9JJIQIHmdCA9_WKaZfEj-g7z5jTj1Q&sz=w800""}]","{""id"": ""Y_Tr-Q4-FP"", ""score"": 0.15, ""name_en"": ""The Silent Receiver"", ""name_th"": ""ผู้รับสารแห่งความเงียบ"", ""image_url"": ""https://drive.google.com/thumbnail?id=11E3Jvi4dI_l7s936-RhfoXS62sjNEu-i&sz=w800""}",,,100,สูง,"{""sd"": 0, ""inf"": 0, ""con_checks"": 0}",2026-04-16 07:38:45.55726+00,,,
38f88ffb-9578-46ab-82a3-bd2a6683ff1e,DEM-IZFZECIACFGGANONA,9f5b7e3e-2910-4383-b1bb-40a078c20323,Y_T-Q2-FP,นักเดินทางผู้มีสติ,The Mindful Walker,3.2,3.5,2.4,3.8,2.3,Q2,Q4,0.67,1,T,"{""C"": 7.5, ""H"": 3.5, ""J"": 0, ""T"": 14.5, ""W"": 11.5, ""Tr"": 7.5}",FP,"{""F"": 1.8, ""J"": 0.4, ""P"": 1.9, ""T"": 1}",3,1,1,7,E,Kapha (กผะ - ดิน/น้ำ),"[{""id"": ""Y_W-Q2-FP"", ""score"": 0.46, ""name_en"": ""The Awakened Dreamer"", ""name_th"": ""นักฝันผู้ตื่นรู้"", ""image_url"": ""https://drive.google.com/thumbnail?id=1IsqN4JRxiELXawLcUttl8CM7l-0r5en3&sz=w800""}, {""id"": ""Y_C-Q2-FP"", ""score"": 0.46, ""name_en"": ""The Heartstrong Fighter"", ""name_th"": ""นักสู้หัวใจแกร่ง"", ""image_url"": ""https://drive.google.com/thumbnail?id=1Y2uBeQNrbd4mZP4VNQV7Nd-Yu2ectFPJ&sz=w800""}, {""id"": ""Y_H-Q2-FP"", ""score"": 0.46, ""name_en"": ""The Spirit Feeler"", ""name_th"": ""ผู้สัมผัสแห่งจิตวิญญาณ"", ""image_url"": ""https://drive.google.com/thumbnail?id=1XO1VQS2aGCnHXlT4-xEHS2p8CsmIFqPU&sz=w800""}]","{""id"": ""Y_Tr-Q3-TJ"", ""score"": 0.15, ""name_en"": ""The Spirit Connector"", ""name_th"": ""ผู้เชื่อมจิตวิญญาณ"", ""image_url"": ""https://drive.google.com/thumbnail?id=1yfhlddWLEnGYWmpDCLSdgXr_yxRIK4fV&sz=w800""}",,,90,สูง,"{""sd"": 1, ""inf"": 0, ""con_checks"": 0}",2026-04-16 06:18:46.662506+00,,,
3c9197d1-18bf-400f-a107-c98565d56f6e,DEM-CACDDIIACFGGANONA,f9ef42d6-7135-4aae-8c35-137cbd81b037,Y_W-Q2-TP,นักทดลองไอเดีย,The Idea Experimenter,3.3,3.2,2.9,3.3,2.9,Q2,Q1,1,0.33,W,"{""C"": 6, ""H"": 6, ""J"": 6.5, ""T"": 11, ""W"": 11, ""Tr"": 9.5}",TP,"{""F"": 0.5, ""J"": 0.8, ""P"": 1.1, ""T"": 2.2}",2,6,2,2,W,Vata (วาตะ - ลม),"[{""id"": ""Y_C-Q2-TP"", ""score"": 0.44, ""name_en"": ""The Limit Tester"", ""name_th"": ""นักทดสอบขีดจำกัด"", ""image_url"": ""https://drive.google.com/thumbnail?id=1j-rZwH1yZphDy3DNToFHKHzB45_zJUKk&sz=w800""}, {""id"": ""Y_H-Q2-TP"", ""score"": 0.44, ""name_en"": ""The Soul Listener"", ""name_th"": ""ผู้รับฟังแห่งจิตวิญญาณ"", ""image_url"": ""https://drive.google.com/thumbnail?id=1BzELsMHq61zINm2wZvBK3yx4YnO3WNSo&sz=w800""}, {""id"": ""Y_J-Q2-TP"", ""score"": 0.44, ""name_en"": ""The System Questioner"", ""name_th"": ""ผู้ตั้งคำถามต่อระบบ"", ""image_url"": ""https://drive.google.com/thumbnail?id=140OH6LfslALCRZKHjvClc-nfoWsPHLOj&sz=w800""}]","{""id"": ""Y_Tr-Q3-FJ"", ""score"": 0.15, ""name_en"": ""The Beauty Unifier"", ""name_th"": ""ผู้รวมใจด้วยศาสตร์แห่งศิลป์"", ""image_url"": ""https://drive.google.com/thumbnail?id=1jwTW9nt2AqsWHptwjCRhlm0GGTOZhY3T&sz=w800""}",,,100,สูง,"{""sd"": 0, ""inf"": 0, ""con_checks"": 0}",2026-04-16 06:43:50.90807+00,,,
4467f00a-11dd-4fcb-bdf6-6db3910da495,DEM-FCDEHAZBCFGGANONA,da9f26af-22f4-4fc5-8262-cabfdd9e30cf,Y_T-Q4-FP,ผู้ชมสวนแห่งสมดุล,The Still Gardener,2,2.8,1.9,2.4,3.2,Q4,,1,1,T,"{""C"": 7.5, ""H"": 3.5, ""J"": 6, ""T"": 18.5, ""W"": 10, ""Tr"": 7.5}",FP,"{""F"": 1.4, ""J"": 0, ""P"": 1.8, ""T"": 1.3}",6,3,2,1,F,Vata (วาตะ - ลม),"[{""id"": ""Y_W-Q4-FP"", ""score"": 0.56, ""name_en"": ""The Grounded Dreamer"", ""name_th"": ""ผู้ฝันบนรากฐาน"", ""image_url"": ""https://drive.google.com/thumbnail?id=1gLj8lTAtzS0HZ8mJmPce9KvlYVkGjVup&sz=w800""}, {""id"": ""Y_C-Q4-FP"", ""score"": 0.56, ""name_en"": ""The Story Wanderer"", ""name_th"": ""ผู้ท่องไปในโลกแห่งเรื่องราว"", ""image_url"": ""https://drive.google.com/thumbnail?id=1ncslcS5X4R_d2e8dra5KgIElehOmSNUs&sz=w800""}, {""id"": ""Y_H-Q4-FP"", ""score"": 0.56, ""name_en"": ""The \nforest Witness"", ""name_th"": ""ผู้รับฟังแห่งพงไพร"", ""image_url"": ""https://drive.google.com/thumbnail?id=1oeHTJkOqkG8CH15uLq9ITD_aK0kOEsEc&sz=w800""}]","{""id"": ""Y_T-Q1-TP"", ""score"": 0.15, ""name_en"": ""The Balance Mediator"", ""name_th"": ""ผู้ประสานสมดุล"", ""image_url"": ""https://drive.google.com/thumbnail?id=1jOK0vZsaFGILXMcmOR4rLaI69266wTTr&sz=w800""}",,,100,สูง,"{""sd"": 0, ""inf"": 0, ""con_checks"": 0}",2026-04-16 06:28:49.793403+00,,,
45ea7008-d6bf-4c9a-98b5-7199eb7037d6,DEM-FDCGFAEDIFGGANONA,078c8853-c3f6-459e-a40e-b5d09135516e,Y_J-Q4-TJ,ผู้รักษามาตรฐาน,The Standard Keeper,2.9,3.1,2.5,3.5,3,Q4,Q2,0.33,1,J,"{""C"": 10.5, ""H"": 7.5, ""J"": 12.5, ""T"": 11, ""W"": 8, ""Tr"": 9}",TJ,"{""F"": 1, ""J"": 1.4, ""P"": 0.8, ""T"": 1.8}",3,7,1,1,W,Pitta (ปิตตะ - ไฟ),"[{""id"": ""Y_W-Q4-TJ"", ""score"": 0.51, ""name_en"": ""The Knowledge Architect"", ""name_th"": ""สถาปนิกแห่งความรู้"", ""image_url"": ""https://drive.google.com/thumbnail?id=1p9ZlBQa-dbGWVCtETt89lXzSBp4wz1Ik&sz=w800""}, {""id"": ""Y_C-Q4-TJ"", ""score"": 0.51, ""name_en"": ""The Steadfast Pillar"", ""name_th"": ""เสาหลักแห่งความมั่นคง"", ""image_url"": ""https://drive.google.com/thumbnail?id=1KLhNXnMLVqoTPV6xed2Ai7-lXvOl8pEd&sz=w800""}, {""id"": ""Y_H-Q4-TJ"", ""score"": 0.51, ""name_en"": ""The Master Caretaker"", ""name_th"": ""นักดูแลผู้เชี่ยวชาญ"", ""image_url"": ""https://drive.google.com/thumbnail?id=1On4EUZ_mYGwXVNNfHEOxl1N1Zv5FW1II&sz=w800""}]","{""id"": ""Y_Tr-Q1-FP"", ""score"": 0.15, ""name_en"": ""The Cosmic Dreamer"", ""name_th"": ""นักฝันแห่งจักรวาล"", ""image_url"": ""https://drive.google.com/thumbnail?id=1UN4B902RcYUfe41bHW2V3EfsgZymHHA-&sz=w800""}",,,90,สูง,"{""sd"": 1, ""inf"": 0, ""con_checks"": 0}",2026-04-23 11:59:29.029367+00,83,📣 ผู้ทรงอิทธิพลทางความคิด (The Influencer),"สื่อสาร, สร้างสรรค์, อำนาจ, ธุรกิจ, ไม่จริงจัง, พูดมาก"
4b97542b-bdeb-45d1-97f4-f17f650e40cb,DEM-BBGDGAGGCFGGANONA,ca052dee-933d-47fa-ac76-90ae90fd055f,Y_C-Q2-TP,นักทดสอบขีดจำกัด,The Limit Tester,3.6,3.6,2.7,3.6,1.9,Q2,Q1,1,1,C,"{""C"": 13.5, ""H"": 7.5, ""J"": 8, ""T"": 11, ""W"": 8, ""Tr"": 3.5}",TP,"{""F"": 0.9, ""J"": 0.7, ""P"": 1.4, ""T"": 1.8}",5,7,0,0,W,Kapha (กผะ - ดิน/น้ำ),"[{""id"": ""Y_W-Q2-TP"", ""score"": 0.44, ""name_en"": ""The Idea Experimenter"", ""name_th"": ""นักทดลองไอเดีย"", ""image_url"": ""https://drive.google.com/thumbnail?id=1mlXpt7r24Axh_0bUbuSPRL6rl06W1sy-&sz=w800""}, {""id"": ""Y_H-Q2-TP"", ""score"": 0.44, ""name_en"": ""The Soul Listener"", ""name_th"": ""ผู้รับฟังแห่งจิตวิญญาณ"", ""image_url"": ""https://drive.google.com/thumbnail?id=1BzELsMHq61zINm2wZvBK3yx4YnO3WNSo&sz=w800""}, {""id"": ""Y_J-Q2-TP"", ""score"": 0.44, ""name_en"": ""The System Questioner"", ""name_th"": ""ผู้ตั้งคำถามต่อระบบ"", ""image_url"": ""https://drive.google.com/thumbnail?id=140OH6LfslALCRZKHjvClc-nfoWsPHLOj&sz=w800""}]","{""id"": ""Y_Tr-Q3-FJ"", ""score"": 0.15, ""name_en"": ""The Beauty Unifier"", ""name_th"": ""ผู้รวมใจด้วยศาสตร์แห่งศิลป์"", ""image_url"": ""https://drive.google.com/thumbnail?id=1jwTW9nt2AqsWHptwjCRhlm0GGTOZhY3T&sz=w800""}",,,100,สูง,"{""sd"": 0, ""inf"": 0, ""con_checks"": 0}",2026-04-16 22:16:25.887585+00,,,
